Czas,TempUp_C,TempDown_C,HumUp_%,HumDown_%,PeltUp_C,PeltDown_C
14:04:50,25.100000,26.400000,74.500000,70.800003,21.187500,39.437500
14:04:54,25.100000,26.400000,74.400002,70.800003,20.687500,39.437500
14:04:58,25.100000,26.400000,74.400002,70.699997,21.125000,39.375000
14:05:01,25.100000,26.400000,74.400002,70.699997,20.437500,39.375000
14:05:05,25.100000,26.400000,74.400002,70.699997,21.125000,39.437500
14:05:09,25.100000,26.400000,74.300003,70.699997,20.562500,39.375000
14:05:13,25.100000,26.400000,74.300003,70.699997,21.125000,39.375000
14:05:16,25.100000,26.400000,74.300003,70.599998,21.125000,39.375000
14:05:20,25.100000,26.400000,74.300003,70.599998,20.625000,39.375000
14:05:24,25.100000,26.400000,74.199997,70.599998,21.187500,39.375000
14:05:28,25.000000,26.299999,74.199997,70.500000,21.187500,39.375000
14:05:31,25.100000,26.299999,74.199997,70.500000,21.125000,39.375000
14:05:35,25.100000,26.299999,74.199997,70.500000,20.562500,39.375000
14:05:39,25.100000,26.299999,74.199997,70.500000,21.125000,39.375000
14:05:43,25.100000,26.299999,74.199997,70.500000,21.125000,39.375000
14:05:46,25.000000,26.299999,74.099998,70.500000,21.125000,39.375000
14:05:50,25.100000,26.299999,74.199997,70.500000,21.187500,39.375000
14:05:54,25.000000,26.299999,74.099998,70.400002,20.562500,39.375000
14:05:57,25.100000,26.299999,74.199997,70.500000,21.187500,39.375000
14:06:01,25.000000,26.299999,74.099998,70.500000,20.437500,39.375000
14:06:05,25.000000,26.299999,74.099998,70.400002,20.625000,39.375000
14:06:09,25.000000,26.299999,74.099998,70.500000,21.187500,39.375000
14:06:12,25.000000,26.299999,74.099998,70.500000,21.250000,39.375000
14:06:16,25.000000,26.299999,74.099998,70.500000,20.562500,39.375000
14:06:20,25.000000,26.299999,74.099998,70.500000,21.062500,39.375000
